time,pgd
2025-05-19 15:51:00,7.28855754057006e-08
2025-05-19 15:54:00,1.4204599998434495e-07
2025-05-19 15:55:00,4.2895350873582414e-08
2025-05-19 15:58:00,6.466388315571956e-08
2025-05-19 15:59:00,3.2962250929032686e-08
2025-05-19 16:00:00,3.296407495323498e-08
2025-05-19 16:03:00,1.1126674922630027e-07
2025-05-19 16:05:00,1.9583797891104386e-08
2025-05-19 16:07:00,6.239061065224414e-08
2025-05-19 16:08:00,5.291923392896905e-08
2025-05-19 16:09:00,4.1677545377388265e-08
2025-05-19 16:18:00,7.519750730131538e-08
2025-05-19 16:20:00,4.3444988057509433e-08
2025-05-19 16:23:00,3.0895472598764276e-07
2025-05-19 16:24:00,1.632005821504252e-07
2025-05-19 16:25:00,5.963443665622678e-08
2025-05-19 16:30:00,5.114281687567176e-08
2025-05-19 16:35:00,3.7230402411779566e-07
2025-05-19 16:38:00,1.5865033920415164e-07
2025-05-19 16:39:00,2.840673075586024e-08
2025-05-19 16:40:00,1.947804852961865e-07
2025-05-19 16:42:00,2.503938690598959e-07
2025-05-19 16:43:00,3.5088153716539e-08
2025-05-19 16:45:00,2.5360036955441953e-08
2025-05-19 16:46:00,3.417755808191922e-08
2025-05-19 16:52:00,7.233772726293147e-08
2025-05-19 16:55:00,2.6704531747903202e-08
2025-05-19 16:56:00,8.340246327741433e-08
2025-05-19 16:57:00,8.340247958223564e-08
2025-05-19 16:58:00,2.593943484579538e-08
2025-05-19 16:59:00,3.216605562885114e-07
2025-05-19 17:01:00,2.1693544393289053e-08
2025-05-19 17:02:00,8.790128079614557e-08
2025-05-19 17:03:00,2.6440900604109255e-07
2025-05-19 17:04:00,2.6440893453050803e-07
2025-05-19 17:05:00,8.312179861382871e-08
2025-05-19 17:07:00,8.220617952751314e-08
2025-05-19 17:10:00,3.1025580246412566e-08
2025-05-19 17:16:00,3.561131519118265e-08
2025-05-19 17:23:00,5.4188097913172254e-08
2025-05-19 17:24:00,5.418839336500504e-08
2025-05-19 17:25:00,1.969835872297683e-08
2025-05-19 17:34:00,2.407391386967321e-08
2025-05-19 17:35:00,1.5855309482725446e-07
2025-05-19 17:36:00,4.778037714761956e-08
2025-05-19 17:37:00,6.14031851629024e-08
2025-05-19 17:38:00,3.634686070348673e-08
2025-05-19 17:41:00,5.02898782330631e-08
2025-05-19 17:44:00,5.95064703751192e-08
2025-05-19 17:45:00,1.748116380815627e-07
2025-05-19 17:46:00,1.7481089384680078e-07
2025-05-19 17:51:00,1.581054396733998e-08
2025-05-19 18:00:00,9.522785073205846e-08
2025-05-19 18:02:00,4.5082644158981156e-08
2025-05-19 18:03:00,3.660012843047948e-08
2025-05-19 18:08:00,6.642958808769965e-08
2025-05-19 18:12:00,4.1820167138008935e-08
2025-05-19 18:15:00,7.577041656704135e-08
2025-05-19 18:16:00,7.578152575084903e-08
2025-05-19 18:20:00,1.600971668032747e-08
2025-05-19 18:22:00,1.0023531075548856e-07
2025-05-19 18:23:00,5.1890446438695906e-08
2025-05-19 18:33:00,5.10429436798026e-08
2025-05-19 18:38:00,2.0925475916411652e-08
2025-05-19 18:40:00,6.79184821353302e-08
2025-05-19 18:41:00,4.423218501329635e-08
2025-05-19 18:58:00,2.6957172908693094e-08
2025-05-19 19:00:00,7.713309809890516e-08
2025-05-19 19:05:00,9.070718984306845e-08
2025-05-19 19:07:00,3.920606504538593e-08
2025-05-19 19:09:00,1.6079628344475784e-07
2025-05-19 19:10:00,1.60792455608424e-07
2025-05-19 19:12:00,8.523973651715428e-09
2025-05-19 19:25:00,8.808792000645606e-09
2025-05-19 19:57:00,2.329291714873615e-08
2025-05-19 20:49:00,4.641455240508018e-08
2025-05-19 21:02:00,3.77765102169775e-08
2025-05-19 21:03:00,3.7775929551039243e-08
2025-05-19 21:26:00,7.668224719534394e-08
2025-05-19 21:46:00,4.8429929836999403e-08
2025-05-19 21:51:00,1.4969138171327975e-08
2025-05-19 23:09:00,2.787679602217874e-08
2025-05-19 23:25:00,3.8844581242554313e-08
2025-05-20 00:07:00,1.8903427798132359e-07
2025-05-20 00:08:00,1.8903419920550314e-07
2025-05-20 00:10:00,2.249607995360675e-08
2025-05-20 00:24:00,5.669826534497445e-08
2025-05-20 00:42:00,1.6497088666409273e-08
2025-05-20 01:15:00,8.134037756021125e-08
2025-05-20 01:16:00,8.133115596438389e-08
2025-05-20 02:13:00,5.991501254036726e-08
2025-05-20 02:14:00,5.754745691249165e-08
2025-05-20 02:50:00,5.0117092744035734e-08
2025-05-20 02:56:00,3.9242790313723563e-07
2025-05-20 03:16:00,8.43021856484387e-08
2025-05-20 03:28:00,3.154331300277921e-08
2025-05-20 03:29:00,3.154329894609122e-08
2025-05-20 04:03:00,1.1845380869959808e-07
2025-05-20 04:04:00,7.015610641899572e-08
2025-05-20 04:09:00,2.8901827788808522e-08
2025-05-20 05:20:00,4.571370424520847e-08
